Student_ID,Test_ID,parental_level_of_education,lunch_plan,test_preparation_course
495,43E1519F2042,1.00,2.00,NONE
716,AD59DD156E95,1.00,2.00,NONE
303,4802DCF935A0,1.00,2.00,NONE
307,2FF132E08CA3,1.00,2.00,NONE
601,AE6DD4190E1A,1.00,2.00,NONE
594,35458460B846,1.00,2.00,NONE
492,8B1B5F3FDEB2,1.00,1.00,NONE
500,60258D646DDB,1.00,2.00,NONE
16,2428CA231380,1.00,2.00,NONE
469,77CBC1086423,1.00,2.00,NONE
148,0AACB8FF24B4,1.00,2.00,NONE
215,4CA8AC460BAD,1.00,1.00,NONE
442,EFC8DCB1139C,1.00,2.00,NONE
361,8CC9C9B495DD,1.00,2.00,NONE
241,38CD7CA404EF,1.00,1.00,NONE
102,93D484D71799,1.00,2.00,NONE
114,CF51A52CD06A,1.00,1.00,NONE
676,E4D35FFFEE48,1.00,2.00,NONE
617,F27D5FAAB689,1.00,2.00,NONE
137,3276FF5247AB,1.00,2.00,NONE
418,4A333A23C5D0,1.00,2.00,NONE
345,48BDB417D917,1.00,1.00,NONE
727,CBFFD6EA6552,1.00,2.00,NONE
584,7854354FFC63,1.00,2.00,NONE
167,7CDCD2A3CC30,1.00,2.00,NONE
271,402093B50F07,1.00,1.00,NONE
300,D11B4FDCE6FC,1.00,1.00,NONE
70,395FE2E19FE6,1.00,2.00,NONE
216,446C38A82833,1.00,2.00,NONE
24,153D811E08FB,1.00,1.00,NONE
236,0D61BA602316,1.00,2.00,NONE
252,E5C92545045F,1.00,2.00,NONE
476,CC2F443C5C99,1.00,1.00,NONE
700,3DAA4AA75CB6,1.00,2.00,NONE
902,0C108BF0169F,1.00,2.00,NONE
398,BD5932B3BD71,1.00,2.00,NONE
94,8BF820548DED,1.00,2.00,NONE
313,198BC28F4C79,1.00,2.00,NONE
483,AA4108492775,1.00,2.00,NONE
5,B814C88DED05,1.00,1.00,NONE
165,F1D0A5877494,1.00,1.00,NONE
64,5ADF231C953C,1.00,2.00,NONE
687,7EDBB8F1D71C,1.00,2.00,NONE
275,9478F8191330,1.00,2.00,NONE
822,18CBFA9D3A9F,1.00,2.00,NONE
557,4E013FE63B70,1.00,2.00,NONE
10,6E574745ADFD,1.00,2.00,NONE
147,4EFBB6761292,1.00,2.00,NONE
340,FDA4D0DDDE7F,1.00,2.00,NONE
31,0849A9259271,1.00,1.00,NONE
44,F3A66D61CE56,1.00,1.00,NONE
621,AA7288A8359C,1.00,2.00,NONE
302,F61EF2F86206,1.00,2.00,NONE
571,78DE1881B331,1.00,2.00,NONE
551,9B5005FD8A1B,1.00,1.00,NONE
193,C782923511BF,1.00,2.00,NONE
