Student_ID,Test_ID,math_score,reading_score,writing_score
1,4C25D2D418EC,48,28,23
2,592288068D0E,36,29,23
3,493EFBA51280,20,29,25
4,9508878DBECD,32,34,28
5,B814C88DED05,36,38,29
6,90F347125D27,36,36,30
7,2F0C6D6AA452,49,39,30
8,26663929B9D5,41,40,32
9,2DF8539DE639,35,35,34
10,6E574745ADFD,35,41,34
11,C89576B45391,37,41,34
12,1272940F8AEF,31,30,35
13,9EE483033922,36,34,35
14,1065E531486A,43,38,35
15,E235C07F2441,38,37,36
16,2428CA231380,42,38,36
17,D132A9371F5A,34,43,36
18,3049A95E9F66,35,45,36
19,377BA9A6E418,36,45,36
20,BE87DF6C173F,40,42,37
21,315438036B3A,47,48,37
22,EA35CA02E260,56,41,38
23,C46132201669,35,41,38
24,153D811E08FB,50,43,38
25,00E7C83E7D03,34,44,38
26,FDDB4FCD74E7,37,39,39
27,9C6A00155CAC,53,40,39
28,62475ADCE79B,46,41,39
29,619F8FAA4668,46,42,39
30,FC37FD84A71D,37,43,39
31,0849A9259271,40,44,39
32,975C897407C7,48,45,39
33,146C5610BBF5,42,40,40
34,338D452B1F05,32,41,40
35,972D3C8707CB,40,43,40
36,5E9849FC981D,38,45,40
37,398EDC8D7360,40,46,40
38,6B156B454D40,45,49,40
39,52CD9A8E44CB,41,51,40
40,F43FDFEB98FA,44,52,40
41,A62CF1A934EB,46,39,41
42,9825D0BC400A,28,40,41
43,B8E247196BF6,36,42,41
44,F3A66D61CE56,28,44,41
45,B3FC85821768,58,45,41
46,A2C38CA3E744,55,45,41
47,511F8AF7443A,46,50,41
48,40556FA30792,25,37,42
49,7843A89BA2D0,49,41,42
50,91171C440411,41,42,42
51,7811A6F2B2B7,33,42,42
52,4D766AFEF073,24,43,42
53,EBA8709921FF,46,46,42
54,141E27304EDF,50,48,42
55,308CB08FF368,54,54,42
56,F9BB6DFB6871,50,39,43
57,4AE08C879D70,47,47,43
58,9AB24E51F16A,54,47,43
59,0A4DFCB22E3E,54,47,43
60,FCD19E14F00F,50,49,43
61,BF0DAF397AD5,42,55,43
62,FACB636DFE8B,60,47,44
63,3D4C08D7EE27,58,48,44
64,5ADF231C953C,44,49,44
65,951579EA153B,49,51,44
66,ECFFA2F3516B,61,52,44
67,3DDC3A3C0417,22,38,45
68,164394D24A13,42,40,45
69,B42989CE5DB9,52,43,45
70,395FE2E19FE6,51,47,45
71,4268FC1BBF04,38,47,45
72,48547B1FCFE0,45,49,45
73,D0B0F313C535,41,50,45
74,4A92F11EF803,56,51,45
75,DEFE4FA15059,46,52,45
76,E7436BC28858,44,52,45
77,EA94E2C3709E,60,53,45
78,14767BD4E13A,66,53,45
79,6AB2F507F1B1,41,45,46
80,C8D9B82062BF,58,47,46
81,035827F94A61,57,51,46
82,6078960BD537,55,53,46
83,56A440B24863,39,53,46
84,E9C5A0CE239F,51,44,47
85,EDE430AD39D6,49,45,47
86,993F208CAFA0,52,45,47
87,6129D3AA7E7F,47,46,47
88,51A8CC09F9FF,39,47,47
89,18F422B236A7,44,47,47
90,2F36BFFD67B4,45,47,47
91,AB0D7FB833BB,50,48,47
92,707E7440EA76,47,48,47
93,E0B7E82AB286,61,50,47
94,8BF820548DED,46,54,47
95,7D40083BCBC1,39,54,47
96,224EB4ACD536,45,56,47
97,CC1C1725F728,65,57,47
98,E31B8A46282D,39,43,48
99,B10E0949211E,47,47,48
100,A94491B61F15,58,49,48
101,EAD8E09DFA79,48,51,48
102,93D484D71799,51,52,48
103,BDE86DC495C6,42,53,48
104,E18AB12AB162,58,56,48
105,226866F9C863,50,56,48
106,7871AA9DD084,47,41,49
107,74B8C805F3D9,56,42,49
108,17106B3281C1,51,47,49
109,19D32C291DDF,28,49,49
110,6A89E12B5DEC,52,50,49
111,28017C810D08,53,50,49
112,165285871EF4,61,51,49
113,FAB8D651298F,53,51,49
114,CF51A52CD06A,40,53,49
115,BB3CCFB22F7B,44,56,49
116,61A8766708E7,53,60,49
117,00A86A3C467B,32,48,50
118,19722F5952DD,53,50,50
119,5F73E8A5C12D,50,51,50
120,157D23B47BBF,43,52,50
121,E7A6F35016F2,61,54,50
122,C8F0B3D5312C,61,56,50
123,3005C243B257,56,60,50
124,D5340932D27E,65,60,50
125,87CA803A0EA2,58,50,51
126,EDC3ED6DC9A6,44,50,51
127,2307B5AF2A5A,49,52,51
128,BFAC1D129ED3,50,53,51
129,99610D179BB1,47,53,51
130,515A86600BEB,61,55,51
131,36FEF26338A0,51,56,51
132,B6216E2EADCE,40,50,52
133,5E330507B99D,47,52,52
134,395856098203,64,52,52
135,A02902536932,52,55,52
136,9E9A6347A464,67,57,52
137,3276FF5247AB,66,63,52
138,99658306486E,39,48,53
139,F995C3B84455,56,50,53
140,5EC54A3634C4,56,50,53
141,1E4760172997,49,51,53
142,DE272CCB97E4,50,52,53
143,71056FB2AD17,44,52,53
144,382B60906C52,58,53,53
145,7CC1CEAE852E,55,57,53
146,3BDD8AD15E95,58,57,53
147,4EFBB6761292,55,58,53
148,0AACB8FF24B4,46,58,53
149,1898EAD6447B,59,63,53
150,49B485B1DFF6,56,65,53
151,172F932A5471,63,67,53
152,65849BDF3E9C,42,49,54
153,411FA5DF14A0,56,50,54
154,B40031E14282,33,50,54
155,6670670DE4A0,53,51,54
156,6FD841149FEC,38,53,54
157,BACB506B8512,44,53,54
158,8D33C0362397,63,54,54
159,18E9521269A3,39,56,54
160,1F51FFB81525,42,57,54
161,06434770BAC4,50,58,54
162,A7522D288698,67,58,54
163,334CD50F9DEB,67,59,54
164,226840CABC14,59,59,54
165,F1D0A5877494,53,60,54
166,C91925B8883D,54,60,54
167,7CDCD2A3CC30,58,64,54
168,2E726A491B81,59,48,55
169,C19CF10E0311,44,48,55
170,4403A800FA0C,67,52,55
171,B03A186B6F6A,50,54,55
172,F817F2CC6CD9,69,54,55
173,A3A5558121AA,39,54,55
174,5C4D3C4A8FAF,61,55,55
175,7497EC3330F0,63,56,55
176,1EFC92B0F8CA,61,56,55
177,24CF63F300D2,41,56,55
178,F62CEF9005D6,58,57,55
179,36F499DE4744,48,57,55
180,459116B06019,56,58,55
181,CD1065DD9120,63,59,55
182,BFF287E77E33,40,59,55
183,5336CCAB317E,58,62,55
184,7835B3AF6B18,54,62,55
185,5189121EA9A3,50,64,55
186,15BAA7386610,58,65,55
187,1761EAEB10A9,43,51,56
188,75FFFC0FB397,55,52,56
189,CED46B7954A8,53,56,56
190,605AC17D0204,58,56,56
191,736B4EA905FB,68,56,56
192,ABD89FE93EC2,63,57,56
193,C782923511BF,60,57,56
194,7D90E0B4EBDF,45,58,56
195,F368AD373F48,32,59,56
196,514359F1B74D,63,60,56
197,5231F7FC4320,58,60,56
198,3CC1A93E1853,66,60,56
199,278DEF78BEC1,57,62,56
200,EF35905E7B1F,52,63,56
201,A49C2A63E851,47,64,56
202,8EEC776A43D9,61,65,56
203,975B6F95D4AE,70,66,56
204,1F1DB4F82983,39,54,57
205,6578EB41D207,58,56,57
206,B86511A16115,42,57,57
207,FB2C3926D4EF,63,57,57
208,8D0AD0B0F306,43,57,57
209,8618601C8824,52,58,57
210,E73A11C8FA77,38,58,57
211,97DA59B1F1C8,54,59,57
212,5189D8C1F336,66,59,57
213,1BD6E6A550A1,59,59,57
214,5E8E25E0E08D,69,60,57
215,4CA8AC460BAD,45,60,57
216,446C38A82833,75,61,57
217,16DC7150CCD8,65,61,57
218,9555F6ACDE13,52,63,57
219,A2FFFCBD3D99,73,63,57
220,0122E35F1919,74,65,57
221,4322895D34FF,67,65,57
222,62AC5143150B,51,67,57
223,168F35937296,65,68,57
224,D2FBBE842488,51,52,58
225,1A9B276FB346,65,56,58
226,589C6B138C1A,49,57,58
227,CBF82FFD35DE,61,57,58
228,A5A44CFE114D,56,59,58
229,D04CD3B2E453,59,60,58
230,C27A73C1E958,65,61,58
231,5C6E4E772A46,52,61,58
232,37808CD38737,70,62,58
233,1130955A6644,58,64,58
234,5BFE009AF2B7,52,66,58
235,D271E08199D1,63,69,58
236,0D61BA602316,68,70,58
237,E26EB2269D25,44,54,59
238,75098DACE4FD,50,56,59
239,E0C4F7D14B55,45,59,59
240,54200F61AF70,76,59,59
241,38CD7CA404EF,56,60,59
242,9DF2F5473FA8,52,63,59
243,C9254BEBC1E0,63,64,59
244,2397396066FF,55,64,59
245,9051B7C03F73,64,64,59
246,45C2B209B3B3,64,64,59
247,61C8C5733BB5,48,65,59
248,E7AFE8B0FC13,47,65,59
249,B15BD476EEBC,49,65,59
250,06F57C0CE294,49,66,59
251,15C2005F8BE6,61,67,59
252,E5C92545045F,53,68,59
253,2FDB4F923A22,47,52,60
254,E336763331F2,56,53,60
255,07A1A2FDE3EC,63,55,60
256,B3FC3CAE4EA9,51,57,60
257,501A0C75823D,64,58,60
258,B9BA665B319A,63,60,60
259,B340B10A3EA0,50,61,60
260,74512218FBE9,70,61,60
261,C81E93B1C0AC,63,61,60
262,14B7CC4AEB5B,48,62,60
263,4473581D28E3,55,62,60
264,27C73E600CC0,64,63,60
265,58F192B5E015,52,63,60
266,91B34C69D0A6,67,65,60
267,267964940168,59,65,60
268,932F0D2360F8,72,66,60
269,C3D918FD62E0,63,66,60
270,45D15C5E203A,45,66,60
271,402093B50F07,47,70,60
272,C995E6225DB5,64,61,61
273,544662C2A4EE,62,61,61
274,C3061BF79477,66,61,61
275,9478F8191330,74,62,61
276,920E90292BFF,58,63,61
277,1526707671A1,65,63,61
278,3D8DC159614F,61,63,61
279,1A0A099A44C9,46,63,61
280,6C0FC39AFD0F,63,63,61
281,4739DDD476DC,67,63,61
282,77E4A818DBC7,47,64,61
283,7C711505EC7E,77,64,61
284,90110B2C38E6,66,65,61
285,F09D1FCF3966,64,65,61
286,6F91658B6649,74,65,61
287,157A83960377,72,65,61
288,86E3CAC49AB9,55,66,61
289,ADEA1A9BDA25,49,67,61
290,F7CFBA05F4A7,68,69,61
291,B22935154156,60,69,61
292,95FE8B6700A3,73,75,61
293,2BB66599B20D,64,56,62
294,52C681C4BB58,79,59,62
295,1C1ADA4E9E7F,59,60,62
296,D38F05E656BA,61,60,62
297,9A1460731552,52,60,62
298,45FE852B31C8,66,61,62
299,4F1D3DD077AD,65,62,62
300,D11B4FDCE6FC,74,63,62
301,7F5A13CFBDA0,63,64,62
302,F61EF2F86206,60,64,62
303,4802DCF935A0,53,65,62
