"student_id","math_score","reading_score","writing_score","Test_ID","Results_ID","Course_ID"
"4C25D2D418EC",48,28,23,"4C25D2D418EC",1,1
"592288068D0E",36,29,23,"592288068D0E",2,2
"157D23B47BBF",43,52,50,"157D23B47BBF",3,3
"493EFBA51280",20,29,25,"493EFBA51280",4,4
"9508878DBECD",32,34,28,"9508878DBECD",5,5
"E7A6F35016F2",61,54,50,"E7A6F35016F2",6,6
"B814C88DED05",36,38,29,"B814C88DED05",7,7
"90F347125D27",36,36,30,"90F347125D27",8,8
"2F0C6D6AA452",49,39,30,"2F0C6D6AA452",9,9
"26663929B9D5",41,40,32,"26663929B9D5",10,10
"C8F0B3D5312C",61,56,50,"C8F0B3D5312C",11,11
"3005C243B257",56,60,50,"3005C243B257",12,12
"2DF8539DE639",35,35,34,"2DF8539DE639",13,13
"6E574745ADFD",35,41,34,"6E574745ADFD",14,14
"D5340932D27E",65,60,50,"D5340932D27E",15,15
"87CA803A0EA2",58,50,51,"87CA803A0EA2",16,16
"EDC3ED6DC9A6",44,50,51,"EDC3ED6DC9A6",17,17
"C89576B45391",37,41,34,"C89576B45391",18,18
"1272940F8AEF",31,30,35,"1272940F8AEF",19,19
"9EE483033922",36,34,35,"9EE483033922",20,20
"2307B5AF2A5A",49,52,51,"2307B5AF2A5A",21,21
"1065E531486A",43,38,35,"1065E531486A",22,22
"E235C07F2441",38,37,36,"E235C07F2441",23,23
"BFAC1D129ED3",50,53,51,"BFAC1D129ED3",24,24
"99610D179BB1",47,53,51,"99610D179BB1",25,25
"2428CA231380",42,38,36,"2428CA231380",26,26
"515A86600BEB",61,55,51,"515A86600BEB",27,27
"D132A9371F5A",34,43,36,"D132A9371F5A",28,28
"36FEF26338A0",51,56,51,"36FEF26338A0",29,29
"3049A95E9F66",35,45,36,"3049A95E9F66",30,30
"B6216E2EADCE",40,50,52,"B6216E2EADCE",31,31
"5E330507B99D",47,52,52,"5E330507B99D",32,32
"395856098203",64,52,52,"395856098203",33,33
"A02902536932",52,55,52,"A02902536932",34,34
"9E9A6347A464",67,57,52,"9E9A6347A464",35,35
"3276FF5247AB",66,63,52,"3276FF5247AB",36,36
"A09DB2B3F507",75,65,64,"A09DB2B3F507",37,37
"03C440C5199C",52,66,64,"03C440C5199C",38,38
"8238B886DBAC",71,78,73,"8238B886DBAC",39,39
"86E579B6A0FB",77,78,73,"86E579B6A0FB",40,40
"377BA9A6E418",36,45,36,"377BA9A6E418",41,41
"BE87DF6C173F",40,42,37,"BE87DF6C173F",42,42
"315438036B3A",47,48,37,"315438036B3A",43,43
"EA35CA02E260",56,41,38,"EA35CA02E260",44,44
"C46132201669",35,41,38,"C46132201669",45,45
"153D811E08FB",50,43,38,"153D811E08FB",46,46
"00E7C83E7D03",34,44,38,"00E7C83E7D03",47,47
"FDDB4FCD74E7",37,39,39,"FDDB4FCD74E7",48,48
"9C6A00155CAC",53,40,39,"9C6A00155CAC",49,49
"950C36E7E880",78,81,73,"950C36E7E880",50,50
"AE6DD4190E1A",82,83,73,"AE6DD4190E1A",51,51
"99658306486E",39,48,53,"99658306486E",52,52
"62475ADCE79B",46,41,39,"62475ADCE79B",53,53
"619F8FAA4668",46,42,39,"619F8FAA4668",54,54
"FC37FD84A71D",37,43,39,"FC37FD84A71D",55,55
"F995C3B84455",56,50,53,"F995C3B84455",56,56
"0849A9259271",40,44,39,"0849A9259271",57,57
"5EC54A3634C4",56,50,53,"5EC54A3634C4",58,58
"975C897407C7",48,45,39,"975C897407C7",59,59
"1E4760172997",49,51,53,"1E4760172997",60,60
"DE272CCB97E4",50,52,53,"DE272CCB97E4",61,61
"146C5610BBF5",42,40,40,"146C5610BBF5",62,62
"71056FB2AD17",44,52,53,"71056FB2AD17",63,63
"338D452B1F05",32,41,40,"338D452B1F05",64,64
"972D3C8707CB",40,43,40,"972D3C8707CB",65,65
"5E9849FC981D",38,45,40,"5E9849FC981D",66,66
"382B60906C52",58,53,53,"382B60906C52",67,67
"7CC1CEAE852E",55,57,53,"7CC1CEAE852E",68,68
"3BDD8AD15E95",58,57,53,"3BDD8AD15E95",69,69
"398EDC8D7360",40,46,40,"398EDC8D7360",70,70
"4EFBB6761292",55,58,53,"4EFBB6761292",71,71
"0AACB8FF24B4",46,58,53,"0AACB8FF24B4",72,72
"6B156B454D40",45,49,40,"6B156B454D40",73,73
"1898EAD6447B",59,63,53,"1898EAD6447B",74,74
"52CD9A8E44CB",41,51,40,"52CD9A8E44CB",75,75
"F43FDFEB98FA",44,52,40,"F43FDFEB98FA",76,76
"A62CF1A934EB",46,39,41,"A62CF1A934EB",77,77
"9825D0BC400A",28,40,41,"9825D0BC400A",78,78
"B8E247196BF6",36,42,41,"B8E247196BF6",79,79
"F3A66D61CE56",28,44,41,"F3A66D61CE56",80,80
"4058B111F4FF",79,67,74,"4058B111F4FF",81,81
"B3FC85821768",58,45,41,"B3FC85821768",82,82
"7586562AAF7E",83,69,74,"7586562AAF7E",83,83
"51D6F3E69095",66,70,74,"51D6F3E69095",84,84
"A2C38CA3E744",55,45,41,"A2C38CA3E744",85,85
"511F8AF7443A",46,50,41,"511F8AF7443A",86,86
"6CE52C7A48DE",79,71,74,"6CE52C7A48DE",87,87
"AA8CD3D4EF3A",66,71,74,"AA8CD3D4EF3A",88,88
"FD0C41A0A1D0",67,71,74,"FD0C41A0A1D0",89,89
"49B485B1DFF6",56,65,53,"49B485B1DFF6",90,90
"40556FA30792",25,37,42,"40556FA30792",91,91
"172F932A5471",63,67,53,"172F932A5471",92,92
"BA0433D8A643",68,71,74,"BA0433D8A643",93,93
"7843A89BA2D0",49,41,42,"7843A89BA2D0",94,94
"65849BDF3E9C",42,49,54,"65849BDF3E9C",95,95
"2D41B37D0255",78,71,74,"2D41B37D0255",96,96
"91171C440411",41,42,42,"91171C440411",97,97
"411FA5DF14A0",56,50,54,"411FA5DF14A0",98,98
"0E53E811B61E",59,71,74,"0E53E811B61E",99,99
"7811A6F2B2B7",33,42,42,"7811A6F2B2B7",100,100
"20D059A58CAA",62,72,74,"20D059A58CAA",101,101
"4D766AFEF073",24,43,42,"4D766AFEF073",102,102
"DB000515888C",71,72,74,"DB000515888C",103,103
"EBA8709921FF",46,46,42,"EBA8709921FF",104,104
"141E27304EDF",50,48,42,"141E27304EDF",105,105
"308CB08FF368",54,54,42,"308CB08FF368",106,106
"7AF8D2A3201F",76,72,74,"7AF8D2A3201F",107,107
"F9BB6DFB6871",50,39,43,"F9BB6DFB6871",108,108
"4AE08C879D70",47,47,43,"4AE08C879D70",109,109
"888DAF19A48E",83,72,74,"888DAF19A48E",110,110
"9AB24E51F16A",54,47,43,"9AB24E51F16A",111,111
"8438496CD8B9",56,73,74,"8438496CD8B9",112,112
"0A4DFCB22E3E",54,47,43,"0A4DFCB22E3E",113,113
"FCD19E14F00F",50,49,43,"FCD19E14F00F",114,114
"BF0DAF397AD5",42,55,43,"BF0DAF397AD5",115,115
"FACB636DFE8B",60,47,44,"FACB636DFE8B",116,116
"3D4C08D7EE27",58,48,44,"3D4C08D7EE27",117,117
"5ADF231C953C",44,49,44,"5ADF231C953C",118,118
"951579EA153B",49,51,44,"951579EA153B",119,119
"B40031E14282",33,50,54,"B40031E14282",120,120
"6670670DE4A0",53,51,54,"6670670DE4A0",121,121
"6FD841149FEC",38,53,54,"6FD841149FEC",122,122
"BACB506B8512",44,53,54,"BACB506B8512",123,123
"ECFFA2F3516B",61,52,44,"ECFFA2F3516B",124,124
"8D33C0362397",63,54,54,"8D33C0362397",125,125
"18E9521269A3",39,56,54,"18E9521269A3",126,126
"3DDC3A3C0417",22,38,45,"3DDC3A3C0417",127,127
"1F51FFB81525",42,57,54,"1F51FFB81525",128,128
"164394D24A13",42,40,45,"164394D24A13",129,129
"06434770BAC4",50,58,54,"06434770BAC4",130,130
"B42989CE5DB9",52,43,45,"B42989CE5DB9",131,131
"A7522D288698",67,58,54,"A7522D288698",132,132
"395FE2E19FE6",51,47,45,"395FE2E19FE6",133,133
"334CD50F9DEB",67,59,54,"334CD50F9DEB",134,134
"4268FC1BBF04",38,47,45,"4268FC1BBF04",135,135
"226840CABC14",59,59,54,"226840CABC14",136,136
"F1D0A5877494",53,60,54,"F1D0A5877494",137,137
"48547B1FCFE0",45,49,45,"48547B1FCFE0",138,138
"C91925B8883D",54,60,54,"C91925B8883D",139,139
"D0B0F313C535",41,50,45,"D0B0F313C535",140,140
"4A92F11EF803",56,51,45,"4A92F11EF803",141,141
"7CDCD2A3CC30",58,64,54,"7CDCD2A3CC30",142,142
"DEFE4FA15059",46,52,45,"DEFE4FA15059",143,143
"8CC9C9B495DD",70,67,64,"8CC9C9B495DD",144,144
"2E726A491B81",59,48,55,"2E726A491B81",145,145
"E7436BC28858",44,52,45,"E7436BC28858",146,146
"C19CF10E0311",44,48,55,"C19CF10E0311",147,147
"EA94E2C3709E",60,53,45,"EA94E2C3709E",148,148
"8BC7D3CA2209",67,68,64,"8BC7D3CA2209",149,149
"4403A800FA0C",67,52,55,"4403A800FA0C",150,150
"14767BD4E13A",66,53,45,"14767BD4E13A",151,151
"394A549666A0",59,68,64,"394A549666A0",152,152
"B03A186B6F6A",50,54,55,"B03A186B6F6A",153,153
"00A29B9734B4",65,69,64,"00A29B9734B4",154,154
"6AB2F507F1B1",41,45,46,"6AB2F507F1B1",155,155
"F54D045537F4",54,69,64,"F54D045537F4",156,156
"F817F2CC6CD9",69,54,55,"F817F2CC6CD9",157,157
"C8D9B82062BF",58,47,46,"C8D9B82062BF",158,158
"2885445CF71F",64,69,64,"2885445CF71F",159,159
"A3A5558121AA",39,54,55,"A3A5558121AA",160,160
"035827F94A61",57,51,46,"035827F94A61",161,161
"1F1950AD9E3C",50,70,64,"1F1950AD9E3C",162,162
"D40F05782253",76,72,64,"D40F05782253",163,163
"3C533912A0FA",56,73,74,"3C533912A0FA",164,164
"75B650A5FA2E",77,79,64,"75B650A5FA2E",165,165
"F27D5FAAB689",71,73,74,"F27D5FAAB689",166,166
"D4FFA9CDD071",57,55,65,"D4FFA9CDD071",167,167
"5C4D3C4A8FAF",61,55,55,"5C4D3C4A8FAF",168,168
"BB7035BF4ADA",70,75,74,"BB7035BF4ADA",169,169
"BD9E59C0DC39",41,56,65,"BD9E59C0DC39",170,170
"84AD2EBE3EB3",65,58,65,"84AD2EBE3EB3",171,171
"339F9AA99514",66,75,74,"339F9AA99514",172,172
"6078960BD537",55,53,46,"6078960BD537",173,173
"7497EC3330F0",63,56,55,"7497EC3330F0",174,174
"1EFC92B0F8CA",61,56,55,"1EFC92B0F8CA",175,175
"24CF63F300D2",41,56,55,"24CF63F300D2",176,176
"F62CEF9005D6",58,57,55,"F62CEF9005D6",177,177
"56A440B24863",39,53,46,"56A440B24863",178,178
