PurchaseID,TransactionID,CustomerID,ProductUPC,Quantity,total_sales
1,10300097,1001019,719638485153,1,$72.99
2,10300093,1001015,73201504044,1,$18.95
3,10300093,1001015,719638485153,1,$72.99
4,10300093,1001015,441530839394,2,$56.90
5,10300093,1001015,733426809698,1,$18.95
6,10300091,1001012,344934101144,1,$24.95
7,10300096,1001018,717036112695,1,$60.99
8,10300103,1001025,242313721729,1,$65.99
9,10300100,1001022,100469015054,1,$18.95
10,10300102,1001024,287663658863,1,$9.95
11,10300101,1001023,441530839394,1,$28.45
12,10300101,1001023,287663658863,1,$9.95
13,10300098,1001020,242313721729,2,$131.98
14,10300094,1001016,374613020864,1,$10.97
15,10300099,1001021,832878954342,1,$45.99
16,10300092,1001014,469757173540,1,$35.99
17,10300095,1001017,73201504044,1,$18.95
18,10300107,1001028,374613020864,1,$10.97
19,10300113,1001034,100469015054,1,$18.95
20,10300113,1001034,469757173540,3,$107.97
21,10300110,1001031,969568933713,1,$32.99
22,10300110,1001031,521244155990,2,$109.90
23,10300104,1001026,344538897332,2,$39.98
24,10300111,1001032,832878954342,1,$45.99
25,10300114,1001035,845773115334,1,$12.99
26,10300114,1001035,733426809698,2,$37.90
27,10300109,1001030,575410882303,2,$43.90
28,10300118,1001039,100469015054,1,$18.95
29,10300105,1001022,73201504044,2,$37.90
30,10300105,1001022,287663658863,1,$9.95
31,10300106,1001027,483326155497,3,$32.97
32,10300117,1001038,621046126170,1,$22.99
33,10300117,1001038,374613020864,2,$21.94
34,10300112,1001033,717036112695,1,$60.99
35,10300115,1001036,100469015054,1,$18.95
36,10300119,1001040,73201504044,1,$18.95
37,10300108,1001029,704772572943,1,$35.98
38,10300108,1001029,469757173540,1,$35.99
39,10300116,1001037,969568933713,1,$32.99
40,10300120,1001041,575410882303,1,$21.95
41,10300121,1001042,521244155990,1,$54.95
42,10300123,1001044,140160459467,3,$146.85
43,10300123,1001044,719638485153,3,$218.97
44,10300122,1001043,832878954342,1,$45.99
45,10300122,1001043,73201504044,1,$18.95
